table_id rows cols nulls inlinks outlinks views table_imp table_fraction
table-0106-63 13 9 26 159 186 6290 0.16666666666666666 0.899176276771005
table-0106-17 1 3 1 236 293 7177 0.125 0.014952424105120073
table-0106-803 1 7 0 174 242 3170 0.14285714285714285 0.022270505160239002
table-0106-673 8 3 0 1458 954 204019 1.0 0.02341945342762714
table-0106-513 6 7 2 59 103 15076 0.3333333333333333 0.5688010899182562
table-0106-739 137 6 15 17 166 15636 0.5 15.08185053380783
table-0106-289 10 5 0 167 230 3376 0.14285714285714285 0.25979744605900484
table-0106-971 8 3 0 69 63 1461 1.0 0.5337457817772778
table-0106-521 15 3 14 279 184 3668 0.3333333333333333 0.3310179000801496
table-0106-382 0 1 0 422 262 4753 0.14285714285714285 0.0
table-0106-163 6 5 0 169 253 3054 0.14285714285714285 0.14531709365812684
table-0106-136 1 2 1 259 253 6345 0.5 0.032148900169204735
table-0106-631 2 3 0 436 540 8498 0.1111111111111111 0.05554140127388535
table-0106-807 3 8 0 178 231 2846 0.14285714285714285 0.059149722735674676
table-0106-323 6 2 11 180 227 24742 0.125 0.0055217329746566615
table-0106-423 4 5 0 18 42 977 0.3333333333333333 0.14829931972789115
table-0106-914 5 4 0 145 446 1320 0.043478260869565216 0.13134009610250935
table-0106-355 3 1 0 143 135 1659 0.3333333333333333 0.21351351351351353
table-0106-590 17 3 16 370 190 4229 0.3333333333333333 0.5323834196891192
table-0106-369 0 1 0 177 263 4089 0.14285714285714285 0.0
table-0106-339 5 2 4 61 92 34682 0.3333333333333333 0.06993795826283136
table-0106-224 6 8 0 172 237 2640 0.14285714285714285 0.13845401174168298
table-0106-712 3 2 0 334 210 3606 0.08333333333333333 0.02696078431372549
table-0106-184 0 1 0 110 128 1154 1.0 0.0
table-0106-227 2 7 0 172 237 2640 0.14285714285714285 0.04207436399217221
table-0106-756 3 7 0 174 253 4015 0.09090909090909091 0.05500644606789858
table-0106-54 0 0 0 2140 481 470140 0.5 0.0
table-0106-398 1 3 0 114 240 21361 1.0 0.011304613504430187
table-0106-518 12 4 0 137 141 68316 0.25 0.0704552336731604
table-0106-210 1 11 0 2435 482 354636 0.3333333333333333 0.012463697967086157
table-0106-576 10 2 0 128 149 2607 0.5 0.46871310507674147
table-0106-752 9 8 0 174 253 4015 0.09090909090909091 0.18521701761925224
table-0106-963 260 4 260 171 416 1216 1.0 97.25888324873097
table-0106-637 2 3 2 250 146 3373 0.3333333333333333 0.053437833986462416
table-0106-710 4 2 0 5 103 65878 1.0 0.056422995031937546
table-0106-517 3 4 0 137 141 68316 0.25 0.02402341778540426
table-0106-160 1 6 0 174 247 3188 0.14285714285714285 0.017241379310344827
table-0106-655 10 3 9 351 158 3588 0.5 0.19039615846338537
table-0106-48 1 11 0 2140 481 470140 0.5 0.01002790939183488
table-0106-587 45 3 45 442 276 4648 0.25 0.5112834978843441
table-0106-482 1 6 0 709 474 67130 0.3333333333333333 0.020871143375680582
table-0106-401 2 3 1 12 54 13540 0.1111111111111111 0.832395498392283
table-0106-729 12 3 0 112 103 8765 1.0 0.43465304384844616
table-0106-755 0 1 0 174 253 4015 0.09090909090909091 0.0
table-0106-30 2 2 0 44 51 10504 0.3333333333333333 0.04342105263157895
table-0106-8 9 8 0 177 236 2329 0.14285714285714285 0.2326086956521739
table-0106-640 4 3 4 430 253 4834 0.2 0.05673274094326726
table-0106-413 0 1 0 17 95 10936 1.0 0.0
table-0106-547 15 3 15 323 184 3287 0.3333333333333333 0.3052552175006286
table-0106-779 9 8 0 174 235 2736 0.16666666666666666 0.3355457227138643
table-0106-329 0 1 0 2337 361 217879 1.0 0.0
table-0106-205 1 7 0 172 234 2725 0.14285714285714285 0.024163568773234202
table-0106-616 8 3 7 288 288 1519 0.5 0.25191717791411045
table-0106-353 11 7 0 221 309 9627 1.0 0.08031075958253381
table-0106-872 6 5 0 172 236 4463 0.125 0.10713163682060949
table-0106-95 0 1 0 233 312 5978 0.08333333333333333 0.0
table-0106-285 3 7 0 163 228 3120 0.14285714285714285 0.07328891580860085
table-0106-56 1 7 0 2140 481 470140 0.5 0.001038488998507172
table-0106-856 4 7 0 176 254 4255 0.125 0.04938271604938271
table-0106-170 6 5 0 172 249 2736 0.14285714285714285 0.14863713798977854
table-0106-984 7 4 0 34 31 1273 1.0 0.9209844559585493
table-0106-60 11 5 22 166 160 5162 0.25 1.7407878017789074
table-0106-96 0 1 0 233 312 5978 0.08333333333333333 0.0
table-0106-345 6 9 0 54 149 1771 1.0 0.42033898305084744
table-0106-132 3 7 0 172 242 2570 0.14285714285714285 0.05553200508690123
table-0106-665 7 3 7 324 195 8352 0.3333333333333333 0.09990884229717412
table-0106-315 3 7 0 174 248 5967 0.125 0.022847432024169185
